a lot	a lot: adv. muito
sovereignty	<i> n</i><b> 1</b> soberania, poder supremo.<b> 2</b> autoridade ou cargo de soberano.
soviet	<i> n</i><b> 1</b> conselho, assembléia.<b> 2</b> soviete: conselho local na Rússia. <b>3 </b>pessoa nascida na antiga Rússia Soviética. •<i> adj</i> soviético.<b> </b>
sovietization	<i> n </i>= <b>sovietisation.</b>
sow	<i> n</i><b> 1 </b><i>Zool</i> porca.<b> 2</b> jito: canal que conduz molde de fundição.<b> 3</b> lingote defeituoso. <b>to get the wrong sow by the ears </b>chegar a uma conclusão errada. <i>vt+vi</i> (<i>ps</i> <b>sowed</b>, <i>pp</i> <b>sown</b>, <b>sowed</b>)<b> 1</b> semear, plantar semente.<b> 2</b> espalhar, disseminar, propagar. <b>he has sowed his wild oats </b>ele já cometeu as diabruras da juventude.<b> to sow the wind and reap the whirlwind </b>semear vento e colher tempestade.
soybean	<i>n</i><b> 1</b> feijão<b>-</b>soja.<b> 2</b> soja (planta).
sozzled	<b> </b><i>adj Brit sl </i>bêbado, cachaceiro.
space	<i> n</i><b> 1</b> espaço, universo.<b> </b><i>he stared into space </i>/<i> </i>ele olhou o vazio. <b>2</b> lugar, extensão.<b> 3</b> área, superfície.<b> 4</b> distância.<b> 5</b> espaço de tempo, prazo.<i> let it rest for a space </i>/<i> </i>deixe<b> </b>isto em descanso por algum tempo.<b> 6</b> intervalo. <b>7</b> folga, oportunidade. <b>8</b> <i>Typogr</i> material branco, espaço (também distância entre as letras na máquina de escrever). <b>9</b><i> Mus</i> espaço entre duas linhas. <b>10</b> acomodação, lugar (para sentar num veículo). • <i>vt</i><b> 1</b> espaçar, fixar espaço, separar com espaço.<b> 2</b> dividir em espaços.<b> 3</b> <i>Typogr</i> espacejar, justificar linhas. <b>outer space </b>espaço exterior, espaço cósmico. <b>time and space </b>tempo e espaço. <b>to be spaced out </b><i>Amer sl </i>estar atordoado, estonteado, baratinado (estado mental provocado pelo uso de drogas). <b>to make space for... </b>abrir espaço para... <b>to space out</b> <i>Typogr</i> espaçar.
spangly	<i> adj</i> brilhante, reluzente.
spaniard	Spaniard: n. castelhano, Spaniard: n. espanhol
spanish	Spanish: adj. espanhol, Spanish: adj. castelhano
spare	<b> </b><i>n</i><b> </b>objeto de reserva. • <i>vt+vi</i><b> 1</b> poupar, tratar com indulgência, ter dó ou consideração.<b> </b><i>spare me all this! </i>/<b> </b>poupe-me de tudo isso! <i>spare his life! </i>/<i> </i>poupe sua vida! <b>2</b> aliviar, desobrigar, isentar, dispensar.<b> 3</b> tomar em consideração, respeitar.<b> </b><i>spare her blushes </i>/<i> </i>respeite seu melindre. <b>4</b> economizar.<b> 5</b> abster-se, privar-se.<b> 6</b> dispensar. <i>can you spare me a moment? </i>/<i> </i>você dispõe de um momento para mim? <b>7</b> ter em excesso, de sobra. <i>I have not a minute to spare </i>/<i> </i>não tenho nem um minuto de sobra. <i>we have time to spare </i>/<i> </i>temos tempo de sobra. •<i> adj</i><b> 1</b> excedente, de sobra.<b> 2</b> de reserva, extra, sobressalente.<b> 3</b> magro.<b> 4</b> pouco, esparso, parco, frugal. <b>enough and to spare </b>mais do que suficiente.<b> to drive someone spare </b>deixar alguém louco, furioso. <b>to go spare </b>ficar furioso, ficar bravo. <b>to have to spare </b>ter de sobra. <b>to spare no expense </b>não poupar gastos.
sparky	<i>adv </i><b>1 </b>pessoa viva, brilhante. <b>2</b> coisa que brilha, que é bom entretenimento.
spatial	<i> adj</i><b> 1</b> espacial, de espaço, relativo ao espaço.<b> 2</b> que existe no espaço.
speak	<i>vt+vi</i> (<i>ps</i> <b>spoke,</b> <i>pp</i> <b>spoken</b>)<b> 1</b> dizer, articular.<b> 2</b> falar, conversar.<b> 3</b> fazer discurso, orar.<b> 4</b> contar, declarar, exprimir, tornar conhecido.<b> 5</b> exprimir (idéia), pronunciar, manifestar, comunicar.<b> </b><i>speak your mind </i>/<i> </i>fale o que está pensando. <b>6</b> pedir, requerer, apelar. <b>7</b> conversar, falar (<b>with, to</b> com, a). <b>8</b> latir. <b>he spoke up for me </b>ele falou a meu favor. <b>not to speak of </b>sem mencionar, sem citar. <i>not to speak of expenses </i>/<i> </i>sem falar das despesas. <b>nothing to speak of</b> nada digno de menção. <b>so to</b> <b>speak </b>por assim dizer. <b>speak</b> <b>up!</b> fale! fale mais alto! <i>that speaks well for him </i>/<i> </i>isso fala a seu favor. <b>to be spoken for </b>estar prometido, estar reservado. <b>to speak about </b>falar sobre, tratar de, falar de. <b>to</b> <b>speak for</b> falar por alguém. <i>he can speak for himself </i>/<i> </i>ele mesmo pode falar. <i>that speaks for itself</i><b> </b>/<b> </b>isso fala por si mesmo.<b>to speak ill of somebody </b>falar mal de alguém.<b> </b><i>she never speaks ill of anybody</i><b> </b>/<b> </b>ela nunca fala mal de ninguém. <b>to speak on</b> continuar falando. <i>he spoke on the same subject </i>/<i> </i>ele falou sobre o mesmo assunto. <b>to speak out</b> falar alto, falar à vontade, manifestar-se livremente, declarar, comunicar, esclarecer, falar francamente, dar opinião abertamente. <b>to speak to </b>a)<b> </b>dirigir-se a. b)<b> </b><i>coll </i>admoestar. c)<b> </b>falar ao sentimento, atrair, interessar. <b>to speak to<i> </i>someone</b> falar com alguém. <i>I should like to speak to you </i>/<i> </i>gostaria de falar-lhe. <b>to speak up </b>a) falar alto.<b> </b>b) defender alguém, protestar.<b> to speak well</b>/<b>highly of somebody</b> falar muito bem de alguém, elogiar. <i>she speaks highly of him </i>/<i> </i>ela fala dele em palavras elogiosas.<b> </b>
speaker	<i> n</i><b> 1</b> locutor, orador.<b> 2</b> presidente (do congresso americano ou parlamento inglês).<b> 3</b> <i>Acoustics </i>alto-falante, caixa acústica. <b>loud speaker </b>alto-falante. <b>previous speaker </b>orador<b> </b>anterior.
special	<i> n</i><b> 1</b> trem ou outro veículo especial.<b> 2</b> pessoa ou coisa especial.<b> 3</b> edição especial de jornal, edição extra.<b> 4</b> <i>Amer</i> produto ou prato especial. •<i> adj</i><b> 1</b> especial, distinto.<b> 2</b> particular, peculiar.<b> 3</b> próprio.<b> 4</b> específico.<b> 5</b> diferente. <b>6</b> excepcional. <b>7</b> grande, excelente. <b>on special </b><i>Amer coll </i>em oferta, com desconto, com preço reduzido.
specialism	<i>n </i>especialismo.
specialist	<i> n</i> especialista, perito, médico especialista.
specially	<i>adv</i> especialmente, particularmente.
species	<i> n</i><b> </b><i>Zool, Bot</i> <b>1 </b>espécie.<b> 2</b> gênero, variedade, raça.<b> 3</b> aparência, forma. <b>the four species </b>as quatro operações básicas de aritmética. <b>our</b> <b>species </b>a humanidade, o gênero humano.
specific	<b> </b><i>n</i><b> 1</b> qualidade ou condição específica.<b> 2</b> medicamento específico. •<i> adj</i><b> 1</b> específico, definido, preciso, particular.<b> 2</b> característico, peculiar.<b> 3</b> específico (medicamento).
specifically	<i>adv</i> especificamente.
specificity	<b> </b><i>n </i>especificidade.
specify	<i>vt</i><b> 1</b> especificar.<b> 2</b> mencionar detalhadamente, descrever.
speciousness	<i>n</i> = <b>speciosity.</b>
spectacular	<i> n </i>apresentação espetacular, programa grandioso e bem elaborado de televisão. • <i>adj</i><b> 1</b> espetacular, espetaculoso.<b> 2</b> relativo a espetáculo ou exibição.
spectrum	<i> n </i>(<i>pl </i><b>spectra</b>) <i>Lat </i><b>1 </b>espectro ocular, imagem que persiste na retina, mesmo depois de fechados ou desviados os olhos. <b>2</b> âmbito de ondas de rádio dentro de uma freqüência específica. <b>3</b> âmbito de uma coisa específica.
speculation	<i> n</i><b> 1</b> reflexão, meditação. <b>2 </b>especulação, negociata.
speculative	<i> adj</i><b> 1</b> pensativo, contemplativo.<b> 2</b> teórico.<b> 3</b> arriscado.<b> 4</b> relativo a negócios lucrativos.
speculatively	<i>adv</i> especulativa­mente.
speech	<i> n</i><b> 1</b> ato de falar, conversa.<b> 2</b> poder da palavra.<b> 3</b> modo de falar.<b> 4</b> fala, palavra.<b> 5</b> discurso (público).<b> </b><i>he made a beautiful speech </i>/<i> </i>ele fez um discurso bonito. <b>6</b> língua. <b>figure of speech</b> figura de retórica. <b>freedom of speech </b>liberdade de palavra. <b>manner of speech </b>modo de falar.
speechify	<i>vi</i> <i>coll</i> fazer discurso, arengar.
speechlessly	<i>adv</i> silenciosamente, muda­mente.
speechlessness	<i> n</i><b> 1</b> mudez.<b> 2</b> mutismo.
speechwriter	<i>n </i>autor de discurso, geralmente para pessoas importantes e para políticos.
speed	<i> n</i><b> 1</b> velocidade, rapidez. <b>2</b> marcha, engrenagem.<b> 3</b><i> arch</i> sorte, prosperidade. • <i>vt+vi</i> (<i>ps+pp</i> <b>sped</b>)<b> 1</b> apressar-se, correr, andar<b> </b>depressa.<b> </b><i>he sped his way </i>/<i> </i>ele saiu correndo. <b>2</b> fazer andar depressa.<b> 3</b> acelerar.<b> 4</b> ajudar, promover. <b>5 </b>transportar rapidamente, despachar às pressas.<b> 6</b><i> arch</i> dar sorte. <b>7 </b><i>coll </i>anfetamina. <b>at full speed </b>em velocidade<b> </b>máxima. <b>God speed thee!</b><i> arch </i>Deus o ajude! vá com Deus! <b>high speed </b>alta velocidade. <b>how have you sped? </b>como tem passado? <b>more haste, less speed </b>devagar se vai ao longe.<b> second speed </b><i>Auto</i> segunda marcha. <b>to speed up</b> acelerar, apressar.<b> </b>
speediness	<i> n</i> velocidade, pressa, prontidão.
speleological	<b> </b><i>adj Geol </i>espeleo­lógico.
speleologist	<b> </b><i>n Geol </i>espeleologista, espeleólogo.
speleology	<i>n Geol</i> espeleologia.
spell	<i> n</i><b> 1</b> palavra ou palavras<i> </i>que têm força mágica.<b> 2</b> encanto, fascinação, feitiço.<b> </b><i>she has cast a spell over me </i>/<i> </i>ela me deixou encantado. <i>they are under his spell </i>/<i> </i>elas estão sob o fascínio dele. <b>3</b> período de<b> </b>trabalho, turno, vigia.<b> 4</b> <i>coll</i> período de tempo.<b> 5</b> <i>Amer coll</i> indisposição, doença.<b> 6</b> período climático. <b>7</b> rendição, substituição. • <i>vt+vi</i> (<i>ps+pp</i> <i>Amer </i><b>spelled,</b><i> Brit </i><b>spelt</b>) <b>1 </b>soletrar.<b> 2</b> falar ou escrever corretamente.<b> </b><i>he spells his name with an E </i>/<b> </b>ele escreve seu nome com E. <i>how do you spell this? </i>/<i> </i>como você escreve isto? <b>3</b> formar (palavras).<b> 4</b> significar, dizer.<b> 5</b> <i>coll</i> substituir, render, trabalhar (temporariamente) em lugar de outro.<b> 6</b> dar descanso, dar um intervalo. <b>7</b> descansar durante um intervalo. <b>8</b> enfeitiçar. <b>a spell of bad weather </b>um período de mau tempo. <b>by spells</b> de vez em quando. <b>to spell out </b>a)<b> </b>soletrar, ler ou escrever letra a letra com dificuldade. <i>I can’t spell it out </i>/<i> </i>não consigo decifrá-lo. b)<b> </b><i>sl </i>explicar nos mínimos detalhes.
spelunking	<b> </b><i>n </i>exploração de caverna.
spend	<b> </b><i>n </i>despesa, gasto. • <i>vt+vi </i>(<i>ps+pp</i> <b>spent</b>) <b>1 </b>gastar, pagar, desembolsar (dinheiro).<b> </b><i>she spends her money on </i>/<i>upon jewels </i>/<i> </i>ela gasta seu dinheiro em jóias. <b>2</b> usar, despender, consumir.<b> 3</b> passar (tempo).<b> </b><i>she spent the evening in reading </i>/<i> </i>ela passou a tarde lendo. <i>she spends much time on her work </i>/<i> </i>ela gasta muito tempo em seu trabalho. <b>4</b> exaustar-se, esgotar. <b>to spend oneself </b>esgotar-se.
spermicidal	<i>adj</i> espermicida.
sphagnum	<i> n Bot</i> esfagno: espécie de musgo.
spic	<i>n sl </i>latino ou descendente de latino.
spider	<i> n</i><b> 1</b><i> Zool</i> aranha.<b> 2</b> coisa ou objeto parecido com aranha. <b>3 </b><i>Amer</i> frigideira.<b> 4</b> suporte, tripé.<b> 5</b> aranha (veículo).<b> 6</b> <i>Tech</i> cruzeta de diferencial. <b>bird-catching spider</b> aranha carangue­jeira.
spill	<i> n</i><b> 1</b> derramamento, ato de derramar.<b> 2</b> quantidade derramada.<b> 3</b> <i>coll</i> queda, tombo (de moto, bicicleta ou cavalo).<b> </b><i>he had a nasty spill </i>/<i> </i>ele sofreu uma queda violenta. <b>4</b> aguaceiro, pé d’água.<b> 5</b> cavaco, lasca de madeira.<b> 6</b> pedaço de madeira, mecha ou papel torcido para acender velas. <b>7 </b>vertedouro. • <i>vt+vi</i> (<i>ps+pp</i> <b>spilt, spilled</b>)<b> 1</b> derramar, entornar, transbordar.<b> 2</b> deixar cair, cair.<b> 3</b> despejar, derramar (sangue).<b> 4</b> <i>coll</i> jogar ao chão, cuspir do carro ou da sela.<b> 5</b><i> sl</i> espalhar uma notícia.<b> 6</b> esvaziar o vento do bojo duma vela para a<b> </b>meter nos rizes. <b>it is no</b> <b>use</b> <b>crying over spilt milk </b>não adianta chorar sobre o leite derramado; o que não tem remédio, remediado está. <b>spill over </b>derramamento, excesso. <b>to spill one’s guts </b>contar tudo, ser ingênuo. <b>to spill out </b>revelar, contar, espalhar (intimidades). <b>to spill the beans </b>divulgar um segredo.
spinney	<i> n</i> capoeira, matagal.
spirit	<i> n</i><b> 1</b> espírito, alma.<b> 2</b> moral, natureza religiosa.<b> 3</b> ser sobrenatural, fantasma, duende.<b> 4</b> princípio vital, vida, vitalidade.<b> 5</b> Espírito Santo, Deus.<b> 6</b> influência, imaginação, tendência. <b>7</b> pessoa, personalidade. <b>8</b> coragem. <b>9</b> entusiasmo, lealdade. <b>10</b> sentido, intenção. <i>that’s the spirit </i>/<i> </i>esse é o sentido exato.<b> 11 </b><i>Chem </i>parte volátil das substâncias submetidas à destilação. <b>12 </b><i>Pharm </i>tintura. <b>13 </b><i>pl </i><b>spirits</b> disposição, mentalidade, temperamento. <i>he is in high (low) spirits </i>/<i> </i>ele está animado (deprimido). <b>14</b> <i>pl </i><b>spirits</b> vigor, vivacidade, força. <b>15</b> <i>pl </i><b>spirits</b> solução alcoólica, álcool, bebida alcoólica. • <i>vt</i> <b>1 </b>encorajar, excitar.<b> 2</b> dar sumiço a.<b> 3</b> inspirar.<b> out of spirits </b>triste, deprimido. <b>spirit of wine </b>conhaque. <b>spirits of hartshorn </b>amoníaco (de uso doméstico). <b>spirits of salt </b>ácido muriático. <b>spirits of turpentine </b>aguarrás. <b>the spirit of the age</b> a mentalidade da época. <b>to spirit away</b> fazer sumir (por mágica).<b> to spirit up</b> animar.
spiritedly	<i>adv</i> vivamente, animadamente, espirituosamente.
spiritual	<i> n</i><b> 1</b> assunto espiritual ou religioso.<b> 2</b> hino ou canção sacra cantada por negros do sul dos EUA. •<i> adj</i><b> 1</b> incorpóreo, espiritual.<b> 2</b> relativo à Igreja.<b> 3</b> religioso, sacro.<b> 4</b> mental, intelectual. <b>the Lords Spiritual </b>os representantes da Igreja na câmara dos lordes.
spirochetosis	<b> </b><i>n Med </i>espiroque­tose.
spiv	<i> n</i> <i>Brit coll</i> sujeito duvidoso, o que negocia no câmbio negro.
splendour	<i> n</i><b> </b><i>Brit </i><b>1</b> esplendor, brilho, luz brilhante.<b> 2</b> pompa, glória, magnificência.
split	<i> n</i><b> 1</b> divisão, separação, cisão (em grupos ou partidos).<b> 2</b> ruptura, fenda, trinca, racho, rombo, rompimento, rasgo.<b> 3</b><i> sl</i> parte, porção.<b> 4</b> ato ou efeito de fender, partir.<b> 5</b> (geralmente <b>splits</b> <i>pl</i>) acrobacia que consiste em sentar no chão com as pernas abertas em direção oposta.<b> 6</b> meia garrafa de bebida. <b>7 </b>sobremesa preparada com banana ou outra fruta, cortada ao meio e recoberta de sorvete, caldas e creme de leite. • <i>vt+vi</i><b> </b>(<i>ps+ pp </i><b>split</b>)<b>1</b> rachar, fender, partir, lascar, separar-se.<b> 2</b> dividir, repartir.<b> </b><i>let’s split a bottle! </i>/<i> </i>vamos tomar uma garrafa. <b>3</b> separar-se em grupos, desunir-se.<b> 4</b><i> Phys</i> desintegrar, provocar fissão nuclear.<b> 5</b> romper.<b> 6</b><i> sl</i> denunciar, delatar. <b>7 </b><i>Chem</i> romper moléculas. <b>8 </b><i>sl </i>sair, partir. •<i> adj</i> dividido, fendido, separado. <b>don’t split upon me! </b><i>coll</i> não me denuncie! <b>in a split second </b>em uma fração de segundo.<b> my ears split </b>meus<b> </b>ouvidos estão arrebentando. <b>split infinitive </b><i>Gram </i>infinitivo<b> </b>que tem um advérbio entre <b>to</b> e o verbo (<i>p ex</i>: <b>it seems to partly correspond</b>).<b> to split hairs </b>perder-se em minúcias. <b>to split off </b>separar-se rachando. <b>to split on a rock </b>dar com os burros n’água. <b>to split one’s sides </b>arrebentar de rir. <b>to split the difference </b>chegar a um meio termo. <b>to split up </b>a) repartir-se. b) separar, separar-se (casal ou grupo).
spokesman	<i> n</i> porta-voz, orador.
spokeswoman	<b> </b><i>n </i>porta-voz (feminino), oradora.
sponginess	<i> n</i> esponjosidade.
sponsor	<i> n</i><b> 1</b> fiador, pessoa responsável.<b> 2</b> padrinho, madrinha.<b> </b><i>he stood sponsor to my child </i>/<i> </i>ele serviu de padrinho ao meu filho. <b>3</b> segurança, garantia.<b> 4</b> patrocinador. • <i>vt</i> dar fiança, responsabilizar-se, patrocinar, servir de padrinho.
sport	<b> </b><i>n</i><b> 1</b> esporte, atletismo.<b> </b><i>he goes in for sport </i>/<i> </i>ele pratica esporte.<b> 2</b> divertimento, passatempo, jogo, prazer.<b> 3</b> brincadeira.<b> 4</b> zombaria, escárnio.<b> </b><i>they made sport of him </i>/<i> </i>zombaram dele. <b>5</b> esportista, pessoa de qualidades admiráveis.<b> 6</b> brinquedo, vítima de brincadeira. <b>7</b> camarada, bom companheiro, pessoa alegre, pessoa espalhafatosa. <i>he’s a good sport </i>/<i> </i>ele é bom companheiro. <b>8</b> <i>Amer coll</i> jogador (de jogos de azar). <b>9</b><i> Biol</i> animal ou planta que varia repentina ou notavelmente do tipo normal. • <i>vt+vi</i><b> 1</b> brincar, passar o tempo, divertir-se.<b> 2</b> zombar, ridicularizar.<b> 3</b> <i>coll</i> exibir, ostentar.<b> </b><i>he sported a red tie </i>/<i> </i>ele ostentou uma gravata vermelha.<b> 4 </b><i>Bot</i> variar notavelmente do tipo normal, sofrer mutação. •<i> adj</i> de esporte, esportivo. <b>be</b> <b>a sport!</b> não seja desmancha-prazeres! <b>he is the sport of every wind</b><i> fig</i><b> </b>ele vira a casaca facilmente. <b>sports</b> esporte em geral, jogos esportivos, competições. <b>the sport of kings </b>corrida de cavalos, turfe, hipismo. <b>to sport one’s oak</b><i> sl</i><b> </b>isolar-se dos outros. <b>what (capital) sport! </b>que divertimento (formidável)!
sporting	<i>adj</i> <b>1 </b>de esporte, esportivo. <b>2 </b>decente, leal, honrado.
sportingly	<i>adv </i>de modo esportivo, esportivamente.
sportive	<i> adj</i><b> </b>esportivo, alegre, divertido,<b> </b>brincalhão.
sportsman	<i> n</i><b> 1</b> esportista.<b> 2</b> pessoa que gosta de esporte.<b> 3</b> pessoa direita, homem dotado de espírito esportivo. <b>4 </b>bom perdedor.
spot	<i>n</i><b> 1</b> marca, mancha, borrão. <b>2</b><i> fig</i> mácula.<b> 3</b> pinta, espinha.<b> 4</b> lugar, ponto, local.<b> </b><i>that is the sore</i>/<i>tender spot </i>/<i> </i>este é o ponto sensível.<b> 5</b> <i>coll</i> pouquinho, pequena quantidade, pingo, gole, trago. <b>6 </b>posição, cargo. <b>7 </b><i>sl </i>anúncio avulso, comercial curto (rádio ou televisão). <b>8 </b><i>sl </i>clube noturno, restaurante. • <i>vt+vi</i><b> 1</b> marcar, manchar, sujar, borrar.<b> 2</b> ficar manchado, ter manchas ou marcas.<b> 3</b> colocar em certo lugar ou ponto, espalhar em vários lugares.<b> 4</b> <i>coll</i> localizar, descobrir, reconhecer.<b> 5</b> macular, manchar, desonrar.<b> 6</b> <i>coll</i> descobrir, perceber. <b>7 </b>chuviscar, cair chuva leve ou irregular. <b>8 </b>dar vantagem, dar de lambujem. •<i> adj</i><b> 1</b> pronto, instantâneo, imediato.<b> 2</b><i> Com</i> à vista. <b>3 </b>transmitido, irradiado (estação de rádio). • <i>adv Brit coll </i>bem, exatamente. <b>a spot of whisky</b> um golinho de uísque. <b>in a spot </b><i>sl </i>em dificuldade, em maus lençóis. <b>it’s spotting with rain </b>está chuviscando. <b>on the spot</b> a) naquele mesmo lugar, no lugar certo.<b> </b>b) imediatamente.<b> </b><i>he married her (up) on the spot </i>/<i> </i>ele casou-se com ela imediatamente.c) <i>Amer sl</i> em dificuldade, em apuros. <b>soft spot</b> lugar de trabalho fácil. <b>that hits the</b> <b>spot</b>! isto sim! (que é gostoso). <b>that puts me in a bad spot </b><i>Amer coll</i> isto me deixa em maus lençóis. <b>to change one’s spots </b>mudar a qualidade ou o modo de vida. <b>to hit the high spots </b>tratar dos pontos principais. <b>to knock spots off </b><i>Brit coll </i>derrotar facilmente, ser muito melhor do que. <b>to spot out </b>tirar as manchas, limpar.
spotlit	<b> </b><i>adj </i>iluminado.
spousal	<i> adj</i><b> </b>matrimonial, nupcial.
spread	<i> n</i><b> 1</b> expansão, difusão, propagação.<b> 2</b> extensão, largura, envergadura.<b> 3</b> capacidade de extensão ou de esticamento.<b> 4</b> <i>coll</i> comida.<b> 5</b> <i>Amer</i> colcha, coberta, toalha.<b> 6</b> <i>Amer</i> o que se passa no pão (como manteiga, etc.). <b>7 </b>página dupla de jornal ou revista com um só anúncio. <b>8 </b><i>coll </i>exibição, ostentação. <b>9 </b><i>Cards </i>seqüência de cartas. <b>10 </b><i>Econ </i>diversidade de investimento. <b>11 </b><i>Econ </i>margem de lucro. • <i>vt+vi</i> (<i>ps+pp</i> <b>spread</b>) <b>1 </b>desfraldar, desdobrar, expandir.<b> 2</b> propagar, espalhar, difundir.<b> 3</b> esticar, estender.<b> 4</b> estar situado, estender-se.<b> 5</b> distribuir, disseminar, circular.<b> 6</b> cobrir com camada fina, espalhar. <b>7</b> distribuir-se, espalhar-se. <i>the rumour spread like wildfire </i>/<i> </i>o boato espalhou-se como fogo.<b> 8</b> arrumar a mesa. <i>she spreads the cloth </i>/<i> </i>ela põe a mesa. <b>9</b> servir comida à mesa. •<i> adj</i> estendido, expandido, espalhado. <b>to spread for someone </b><i>sl </i>fazer ou oferecer-se para fazer sexo com alguém. <b>to spread oneself </b><i>coll </i>exibir-se, causar boa impressão, <i>Brit </i>fazer farol. <b>to spread oneself thin </b><i>coll </i>querer abarcar o mundo com as pernas. <b>to spread out </b>a)<b> </b>espalhar-se, estender-se. b)<b> </b>separar.
spring	<i> n</i><b> 1</b> pulo, salto, recuo.<b> 2</b> mola, mola espiral.<b> 3</b> elasticidade.<b> 4</b> contragolpe.<b> 5</b> primavera.<b> 6</b> fonte, nascente.<b> 7</b> origem, causa, fonte. <b>8</b> período inicial, primavera da vida. <b>9</b><i> Naut</i> racha, rachadura, fenda (do mastro). <b>10</b> empenamento, curvatura. • <i>vt+vi</i> (<i>ps</i> <b>sprang, </b><i>pp</i><b> sprung</b>) <b>1 </b>pular, saltar. <b>2</b> recuar, retroceder, voltar, ressaltar por força elástica.<b> 3</b> fazer pular ou saltar, acionar uma mola, armar.<b> 4</b> levantar-se, emergir, brotar, nascer, crescer, descender.<b> 5</b> surgir repentinamente, soltar, voar, lascar-se, saltar.<b> 6</b> produzir, apresentar de repente. <b>7</b> rachar, fender. <i>the ship sprang a leak </i>/<i> </i>o navio começou a fazer<b> </b>água. <b>8</b> empenar, curvar-se. <b>9</b> levantar (caça). <b>10</b> fazer saltar, estourar. <b>11 </b><i>sl </i>sair ou escapar da cadeia. •<i> adj</i><b> 1</b> que tem mola, de mola. <b>2</b> suspenso em molas.<b> 3</b> primaveril.<b> 4</b> de fonte ou nascente. <b>to spring at</b> pular em cima de, lançar-se sobre. <b>she sprang a surprise on me </b>ela me fez uma surpresa. <b>to spring a mine</b> fazer explodir uma mina. <b>to</b> <b>spring back </b>pular<b> </b>para trás, voltar para trás (por força de mola).<b> to spring forth </b>saltar para fora. <b>to spring forward </b>lançar-se sobre ou para a frente. <b>to spring into existence </b>surgir,<b> </b>formar-se de repente. <b>to spring something on someone </b>revelar algo de surpresa a alguém. <b>to spring to one’s feet </b>levantar-se de um salto. <b>to spring up</b> brotar,<b> </b>surgir, levantar-se de um salto.<b> </b>
springbok	<i> n Zool</i> gazela da África do Sul.
spritzer	<b> </b><i>n </i>vinho branco com água gasei­fi­cada.
squally	<i> adj</i> sujeito a rajadas, tempestuoso.
square	<i> n</i><b> 1</b> quadrado.<b> 2</b> coisa quadrada ou retangular, divisão de tabuleiro de xadrez, vidraça, etc.<b> 3</b> praça, área (cercada de ruas), quadra.<b> 4</b> <i>Amer</i> comprimento de um lado de uma praça.<b> 5</b> largo, parque de uma cidade.<b> 6</b> tropas colocadas em forma de quadrado<i>.</i> <b>7</b> esquadro. <b>8</b> (também <b>square number</b>)<i> Math</i><b> </b>quadrado, segunda potência de um número. <b>9</b><i> fig</i> igualdade, simetria, regularidade, eqüidade, honestidade. <b>10</b> medida de área, correspondente a 100 pés quadrados. <b>11 </b>pessoa antiquada, conservadora. • <i>vt+vi</i><b> 1</b> fazer retangular, fazer quadrado, esquadrar.<b> 2</b> dividir em quadrados.<b> 3</b> pôr no esquadro, verificar o ângulo.<b> 4</b> fazer plano, endireitar.<b> 5</b> ajustar, liquidar (contas).<b> </b><i>he squared him </i>/ ele o pagou, ele liquidou suas dívidas. <b>6</b> corresponder, estar de acordo, concordar. <b>7</b><i> Math</i> quadrar, elevar ao quadrado. <b>8</b> determinar, colocar em lugar certo, regularizar. <i>I’ll square things </i>/<i> </i>regularizarei o negócio. <b>9</b> adaptar, adaptar-se. <b>10</b> formar ângulo reto. <b>11</b> <i>sl </i>subornar. <i>he squared him </i>/ <i>sl</i> ele o subornou. •<i> adj</i><b> 1</b> quadrado, retangular, quadrangular, em quadrangular.<b> </b><i>she has a square chin </i>/<b> </b>ela tem um queixo quadrado. <b>2</b> em quadrado, relativo à área, que designa a unidade de área.<b> 3</b> que forma um angulo de 90°, reto.<b> 4</b> direito, plano, no nível.<b> 5</b> líquido, sem sobras, igual.<b> 6</b> justo, honesto, correto, direito. <b>7</b> completo, absoluto. <b>8</b><i> Math</i> ao quadrado, na segunda potência. <b>9</b> sólido, forte. <b>10 </b><i>sl </i>antiquado, conservador, retrógrado. <b>11 </b>claro, direto, inequívoco. <b>12 </b><i>coll </i>satisfatório, abundante, substancial. <i>I have had a square meal </i>/ tive uma refeição reforçada. •<i> adv</i><b> 1</b> <i>coll</i> honestamente.<b> 2</b> em forma quadrada, em ângulos retos. <b>he squared up to her </b>ele se colocou diante dela. <b>he’s square-pushing with her</b><i> sl</i><b> </b>ele anda com ela. <b>I</b> <b>got square with him</b> estou quite com ele. <b>like a square peg in a round hole</b><i> fig</i><b> </b>uma coisa<b> </b>que não se adapta, como um peixe fora d’água. <b>on the square </b>a)<b> </b>no esquadro. b)<b> </b><i>coll </i>honesto, justo. <i>that fellow is on the square </i>/<i> sl</i><b> </b>este camarada está em ordem. <b>out of square </b>irregular, fora do normal. <b>to square away </b><i>coll </i>estar pronto para entrar em ação. <b>to square off</b> a)<b> </b>dar forma retangular a.<b> </b>b) tomar posição para boxe. <b>to square oneself </b><i>coll </i>reparar danos, ajustar contas. <b>to square one’s shoulders </b>enfrentar o destino. <b>to square the circle </b>descobrir a quadratura do círculo,<i> fig</i> tentar fazer uma coisa impossível. <b>to</b> <b>square the yards </b><i>Naut</i> cruzar as vergas. <b>to square up</b> liquidar uma conta. <b>to start from square one </b>começar do princípio, voltar ao começo.
